id,actual class,predicted class,predicted probability
905685100901179392_0,1.0,1,"[0.015255204401910305, 0.8837021589279175, 0.020549070090055466, 0.016944242641329765, 0.06354939937591553]"
905720120642650112_0,1.0,1,"[0.038929518312215805, 0.675930380821228, 0.22977669537067413, 0.027692578732967377, 0.02767079509794712]"
905905349437399041_0,1.0,1,"[0.028781654313206673, 0.7602083086967468, 0.13746000826358795, 0.055942974984645844, 0.01760714128613472]"
906216841684582400_0,1.0,1,"[0.0484175905585289, 0.7039388418197632, 0.18394654989242554, 0.024574100971221924, 0.039122845977544785]"
906696876090675201_2,1.0,1,"[0.0651896670460701, 0.5148133635520935, 0.3112204670906067, 0.021239155903458595, 0.08753728866577148]"
906927887454011394_0,1.0,2,"[0.05338871106505394, 0.2630269527435303, 0.5661966800689697, 0.05940217152237892, 0.05798545479774475]"
906933791305949184_0,1.0,1,"[0.03203511983156204, 0.6753562688827515, 0.18525457382202148, 0.01790318451821804, 0.08945082128047943]"
907006307433148417_0,1.0,1,"[0.02384999208152294, 0.8537071347236633, 0.0934862419962883, 0.009658447466790676, 0.019298136234283447]"
907433474025455617_0,1.0,1,"[0.04187377914786339, 0.7329685688018799, 0.14755097031593323, 0.03269662335515022, 0.04491015151143074]"
909379299874099201_0,1.0,1,"[0.03236385062336922, 0.8423593044281006, 0.060742784291505814, 0.01690540462732315, 0.04762871563434601]"
909397291060088832_0,1.0,1,"[0.056077901273965836, 0.4803520143032074, 0.11795549094676971, 0.054090723395347595, 0.29152390360832214]"
909400394773811200_0,1.0,1,"[0.038637276738882065, 0.6353696584701538, 0.24846035242080688, 0.0395982600748539, 0.03793437406420708]"
909406366002929664_0,1.0,1,"[0.026568204164505005, 0.8115847110748291, 0.017516979947686195, 0.006775659043341875, 0.1375543475151062]"
909470884532047874_0,1.0,1,"[0.07066772878170013, 0.4171660244464874, 0.20279115438461304, 0.0951438844203949, 0.21423117816448212]"
909477271206952960_0,1.0,1,"[0.018579524010419846, 0.9023882150650024, 0.037997160106897354, 0.009808379225432873, 0.03122667968273163]"
909497199100399616_0,1.0,1,"[0.016566071659326553, 0.8512813448905945, 0.10977142304182053, 0.0057793050073087215, 0.01660189777612686]"
909704222156959745_0,1.0,1,"[0.024184411391615868, 0.9052594304084778, 0.0378461517393589, 0.010062923654913902, 0.022647131234407425]"
909799422518861824_0,1.0,1,"[0.051063671708106995, 0.5713480114936829, 0.29765740036964417, 0.031235473230481148, 0.04869544133543968]"
909810241189109761_0,1.0,1,"[0.02447117678821087, 0.8043580055236816, 0.15468503534793854, 0.006300762295722961, 0.010185040533542633]"
909927931316703233_0,1.0,2,"[0.05334462597966194, 0.11137218028306961, 0.5347245931625366, 0.25503599643707275, 0.045522574335336685]"
909945317973417984_0,1.0,2,"[0.09379536658525467, 0.22190123796463013, 0.45115822553634644, 0.13107344508171082, 0.10207169502973557]"
909963325944901633_0,1.0,1,"[0.051429446786642075, 0.5756785869598389, 0.1743520349264145, 0.046372607350349426, 0.15216735005378723]"
910247377105297413_0,1.0,1,"[0.06707122176885605, 0.7137237787246704, 0.10348111391067505, 0.0689685121178627, 0.046755313873291016]"
910524557483798529_0,1.0,1,"[0.05276758596301079, 0.7717291712760925, 0.09668619930744171, 0.013599936850368977, 0.06521712988615036]"
910524778896691200_0,1.0,1,"[0.049852367490530014, 0.5329570174217224, 0.1910848468542099, 0.10935355722904205, 0.11675220727920532]"
910533045400231936_0,1.0,4,"[0.11024001985788345, 0.2776613235473633, 0.142741858959198, 0.03831760212779045, 0.4310392439365387]"
910579624857522176_0,1.0,2,"[0.034960776567459106, 0.3862522840499878, 0.5122514963150024, 0.02315955050289631, 0.04337587580084801]"
910652747925610496_0,1.0,1,"[0.041249457746744156, 0.432889461517334, 0.39019128680229187, 0.06047559529542923, 0.07519420236349106]"
910783579751419904_0,1.0,1,"[0.023316875100135803, 0.7164573669433594, 0.013650313019752502, 0.004397373180836439, 0.24217811226844788]"
911623411117334528_0,1.0,1,"[0.03773808106780052, 0.5314698815345764, 0.3468082845211029, 0.0204464178532362, 0.06353731453418732]"
912013825863557121_0,1.0,1,"[0.06495281308889389, 0.5946894884109497, 0.039325978606939316, 0.010473908856511116, 0.29055771231651306]"
912049707085594624_0,1.0,1,"[0.005638692062348127, 0.9822196960449219, 0.0061726076528429985, 0.002847174648195505, 0.0031218193471431732]"
912357558484058112_0,1.0,1,"[0.03273790329694748, 0.7171438336372375, 0.12287668883800507, 0.044381432235240936, 0.0828600823879242]"
912989234922889216_0,1.0,1,"[0.04850044101476669, 0.7395952939987183, 0.07030423730611801, 0.06519657373428345, 0.07640340924263]"
913087531750711297_0,1.0,1,"[0.02932240255177021, 0.7797890305519104, 0.1402132362127304, 0.034744225442409515, 0.015931077301502228]"
913101371246878726_0,1.0,1,"[0.03916346654295921, 0.7423020601272583, 0.15260113775730133, 0.04652674123644829, 0.019406624138355255]"
913181855289032704_0,1.0,1,"[0.06173887103796005, 0.6650708913803101, 0.15762630105018616, 0.024219786748290062, 0.09134412556886673]"
913479005122236421_0,1.0,1,"[0.06485752761363983, 0.7851945757865906, 0.05052400007843971, 0.034582726657390594, 0.06484118103981018]"
913798788095102976_0,1.0,1,"[0.04758531227707863, 0.8184450268745422, 0.08502005785703659, 0.008973420597612858, 0.039976149797439575]"
913897089691774981_0,1.0,1,"[0.04662904143333435, 0.6084117889404297, 0.03834051638841629, 0.005775822326540947, 0.30084288120269775]"
914163198177300480_0,1.0,1,"[0.0640745684504509, 0.4523557424545288, 0.08211394399404526, 0.015921665355563164, 0.3855341076850891]"
916020188130234368_0,1.0,1,"[0.007820888422429562, 0.9792366027832031, 0.005365246441215277, 0.0035245269536972046, 0.0040527330711483955]"
917810972479381504_0,1.0,1,"[0.04480966553092003, 0.5747032165527344, 0.23329606652259827, 0.0928291529417038, 0.05436195805668831]"
917869210499399680_0,1.0,2,"[0.051810283213853836, 0.417143315076828, 0.4492265284061432, 0.05884375795722008, 0.022976098582148552]"
918110217023442944_0,1.0,1,"[0.07727403938770294, 0.6237867474555969, 0.1760127693414688, 0.09793736040592194, 0.024989059194922447]"
920022506211127296_0,1.0,1,"[0.06040431186556816, 0.4515049457550049, 0.3647899031639099, 0.07503138482570648, 0.048269398510456085]"
920069864487710721_0,1.0,1,"[0.040586862713098526, 0.5736151933670044, 0.29507362842559814, 0.05910031124949455, 0.03162406384944916]"
920110234433146880_0,1.0,1,"[0.044031817466020584, 0.7583600282669067, 0.0560590960085392, 0.11982952803373337, 0.021719465032219887]"
920143388590080001_0,1.0,1,"[0.05453304573893547, 0.6006733179092407, 0.2933727204799652, 0.024007724598050117, 0.027413276955485344]"
920407758603735040_0,1.0,3,"[0.05549067631363869, 0.27240878343582153, 0.1661408245563507, 0.43506208062171936, 0.0708976536989212]"
920500722063601666_0,1.0,2,"[0.07374239712953568, 0.14473232626914978, 0.6286851167678833, 0.031076254323124886, 0.12176386266946793]"
920931333848883201_0,1.0,2,"[0.09679614007472992, 0.20554596185684204, 0.5047362446784973, 0.0198193471878767, 0.17310231924057007]"
921020713619853312_0,1.0,1,"[0.0703824833035469, 0.37684062123298645, 0.29059427976608276, 0.21930934488773346, 0.042873263359069824]"
921528721563095041_0,1.0,1,"[0.028889108449220657, 0.7380600571632385, 0.15914802253246307, 0.047488633543252945, 0.026414187625050545]"
921560430803382272_0,1.0,2,"[0.03437028452754021, 0.12425533682107925, 0.7717640399932861, 0.05896049737930298, 0.010649914853274822]"
921580829519650816_0,1.0,1,"[0.036266740411520004, 0.40519967675209045, 0.1888224184513092, 0.1341651827096939, 0.23554600775241852]"
922857566220283904_0,1.0,1,"[0.01776144653558731, 0.926993191242218, 0.02865084446966648, 0.009044798091053963, 0.017549661919474602]"
923035424838254592_0,1.0,2,"[0.06770145893096924, 0.35825344920158386, 0.4499973654747009, 0.06017869710922241, 0.06386898458003998]"
923547987875368961_0,1.0,1,"[0.008884036913514137, 0.9686114192008972, 0.011171462014317513, 0.0022269519977271557, 0.009106175974011421]"
927758858776465408_0,1.0,1,"[0.0506133958697319, 0.840371310710907, 0.022676363587379456, 0.014125041663646698, 0.07221386581659317]"
927998178636587008_0,1.0,2,"[0.08439230173826218, 0.09364708513021469, 0.5263640284538269, 0.14373522996902466, 0.15186138451099396]"
928498940286324736_0,1.0,1,"[0.06443633884191513, 0.6578420400619507, 0.07315026968717575, 0.022208817303180695, 0.18236258625984192]"
928663884730380294_0,1.0,1,"[0.01596621237695217, 0.911109209060669, 0.006156119052320719, 0.004588751588016748, 0.062179699540138245]"
930315477741551617_0,1.0,1,"[0.03940765559673309, 0.7998511791229248, 0.06388232856988907, 0.018091518431901932, 0.07876726984977722]"
870034558737145857_0,2.0,2,"[0.029688002541661263, 0.01602068915963173, 0.7933220267295837, 0.06727809458971024, 0.0936911329627037]"
870143296412069890_0,2.0,2,"[0.024593932554125786, 0.0034749398473650217, 0.9543941020965576, 0.005788794718682766, 0.011748190969228745]"
870273197907771392_0,2.0,4,"[0.07103943824768066, 0.1340346783399582, 0.08825337141752243, 0.011077255941927433, 0.6955953240394592]"
870277875861037060_0,2.0,2,"[0.04648614302277565, 0.023753570392727852, 0.5688710808753967, 0.20923815667629242, 0.15165111422538757]"
870392021319417857_0,2.0,2,"[0.011530051939189434, 0.0016682068817317486, 0.9793476462364197, 0.00270880782045424, 0.004745300859212875]"
870415244258160640_0,2.0,2,"[0.02521575056016445, 0.027250351384282112, 0.8494504690170288, 0.016453437507152557, 0.08162996917963028]"
870423502310035456_0,2.0,2,"[0.06225520372390747, 0.043020281940698624, 0.7545341849327087, 0.08615774661302567, 0.05403260886669159]"
870469371856072704_0,2.0,2,"[0.04456077516078949, 0.017927100881934166, 0.861394464969635, 0.0442083477973938, 0.03190932795405388]"
870475660006834176_0,2.0,2,"[0.046033699065446854, 0.2292916625738144, 0.6559208035469055, 0.04565456137061119, 0.023099269717931747]"
870554787187765248_0,2.0,2,"[0.04744546115398407, 0.04985033720731735, 0.714095950126648, 0.0767931342124939, 0.11181507259607315]"
870582277612371969_0,2.0,2,"[0.008030380122363567, 0.003433776553720236, 0.9536458849906921, 0.0013543489621952176, 0.03353562206029892]"
870761695752454146_0,2.0,2,"[0.06612418591976166, 0.02695595473051071, 0.8063737154006958, 0.011804575100541115, 0.08874161541461945]"
870869689445908480_0,2.0,2,"[0.024067755788564682, 0.012630822136998177, 0.9294060468673706, 0.0017183159943670034, 0.032177068293094635]"
871056873121820672_0,2.0,1,"[0.06956219673156738, 0.6577126979827881, 0.1844032257795334, 0.03632327914237976, 0.0519985631108284]"
871112578583449600_0,2.0,2,"[0.0696256160736084, 0.11096665263175964, 0.6912137269973755, 0.03527768701314926, 0.09291637688875198]"
871251322279911429_0,2.0,2,"[0.02804397977888584, 0.0239812433719635, 0.9167690277099609, 0.022419799119234085, 0.008786020800471306]"
871479115186003970_0,2.0,2,"[0.022986911237239838, 0.04708879813551903, 0.8767441511154175, 0.008737324737012386, 0.044442880898714066]"
871546470687793153_0,2.0,2,"[0.03254461660981178, 0.0075440797954797745, 0.910548746585846, 0.027687277644872665, 0.02167520299553871]"
871791800020869120_0,2.0,2,"[0.03955051302909851, 0.019012371078133583, 0.6454891562461853, 0.24679239094257355, 0.049155596643686295]"
872273375984406528_0,2.0,2,"[0.04582454264163971, 0.05663987994194031, 0.6533156633377075, 0.01582595892250538, 0.22839397192001343]"
872354688636788736_0,2.0,2,"[0.09718210995197296, 0.015786727890372276, 0.5839123725891113, 0.049115318804979324, 0.25400349497795105]"
872455356047278081_0,2.0,2,"[0.0319860577583313, 0.01646510139107704, 0.9095620512962341, 0.03558472916483879, 0.006402071099728346]"
872872669628080128_0,2.0,2,"[0.07874207198619843, 0.2703981399536133, 0.44643744826316833, 0.1779768466949463, 0.02644544653594494]"
873090397391605760_0,2.0,2,"[0.03183698281645775, 0.09349793940782547, 0.7776997089385986, 0.032990697771310806, 0.06397463381290436]"
873103335842234369_0,2.0,2,"[0.06786740571260452, 0.10910401493310928, 0.7216117978096008, 0.03377798944711685, 0.06763875484466553]"
873210513588719621_0,2.0,2,"[0.05920736491680145, 0.02925596944987774, 0.716083288192749, 0.01520355325192213, 0.18024982511997223]"
873981955896991744_0,2.0,2,"[0.048878587782382965, 0.05518949776887894, 0.5863343477249146, 0.2646349370479584, 0.04496263340115547]"
874410698058682368_0,2.0,2,"[0.06339092552661896, 0.05764235556125641, 0.7584958076477051, 0.016616661101579666, 0.10385420173406601]"
874529822139088897_0,2.0,2,"[0.038149744272232056, 0.012686293572187424, 0.8999624252319336, 0.006895050406455994, 0.042306460440158844]"
874622437605986304_0,2.0,2,"[0.051765598356723785, 0.1390182375907898, 0.6972751617431641, 0.05238788574934006, 0.059553150087594986]"
874647133009231873_0,2.0,2,"[0.06105733662843704, 0.03321552276611328, 0.7009146809577942, 0.07215145230293274, 0.13266102969646454]"
874695391794663425_0,2.0,2,"[0.04485858231782913, 0.02961423434317112, 0.7572029232978821, 0.02194402553141117, 0.1463802456855774]"
875266200657375232_0,2.0,2,"[0.08077402412891388, 0.026471728459000587, 0.8238639831542969, 0.017169717699289322, 0.051720596849918365]"
875540511989223426_0,2.0,2,"[0.04615607485175133, 0.3048028349876404, 0.5686991810798645, 0.059452950954437256, 0.02088896371424198]"
875817545902821376_0,2.0,2,"[0.020113207399845123, 0.00795674417167902, 0.9569306373596191, 0.00724652549251914, 0.007752889767289162]"
876106387708837889_0,2.0,2,"[0.028174731880426407, 0.005424491595476866, 0.8308936953544617, 0.008005743846297264, 0.12750130891799927]"
876289315290173440_0,2.0,2,"[0.08686268329620361, 0.012314421124756336, 0.7106170654296875, 0.02405819483101368, 0.16614766418933868]"
876324183973801986_0,2.0,2,"[0.054400090128183365, 0.013196373358368874, 0.8413254022598267, 0.02314181998372078, 0.06793636083602905]"
876386158309236737_0,2.0,2,"[0.08899574726819992, 0.030544273555278778, 0.4638155400753021, 0.3619312345981598, 0.05471315607428551]"
876614606612910082_0,2.0,2,"[0.063123919069767, 0.04394156485795975, 0.6417289972305298, 0.20734551548957825, 0.043860066682100296]"
876714985937883137_0,2.0,3,"[0.08503943681716919, 0.02468450739979744, 0.3073604702949524, 0.46635866165161133, 0.11655682325363159]"
876815453276000256_0,2.0,2,"[0.07618044316768646, 0.024743184447288513, 0.7460908889770508, 0.08263174444437027, 0.07035370916128159]"
876843932302422016_0,2.0,2,"[0.037362851202487946, 0.02642318606376648, 0.8661222457885742, 0.012208736501634121, 0.05788295343518257]"
876871512250122242_0,2.0,2,"[0.05192219838500023, 0.03270113840699196, 0.6673383712768555, 0.09993165731430054, 0.148106649518013]"
877474219898150920_0,2.0,2,"[0.03656860068440437, 0.44078710675239563, 0.45395106077194214, 0.05043799430131912, 0.0182552058249712]"
877484057688461312_0,2.0,2,"[0.030590472742915154, 0.0040220171213150024, 0.9567374587059021, 0.0029307070653885603, 0.005719307344406843]"
877536200587956225_0,2.0,2,"[0.017483968287706375, 0.028416087850928307, 0.7111329436302185, 0.0019705351442098618, 0.24099645018577576]"
877618041097510913_0,2.0,4,"[0.07183574140071869, 0.10090228170156479, 0.2273721694946289, 0.02545955404639244, 0.5744301676750183]"
877816452367216640_0,2.0,2,"[0.02551574632525444, 0.01104146521538496, 0.879220187664032, 0.011810855939984322, 0.07241175323724747]"
878192678512582656_0,2.0,2,"[0.05408672243356705, 0.06422685086727142, 0.7637244462966919, 0.08493442088365555, 0.033027514815330505]"
878273451773046785_0,2.0,2,"[0.02033589966595173, 0.010059056803584099, 0.8501534461975098, 0.10840016603469849, 0.011051409877836704]"
878350125910773760_0,2.0,2,"[0.051780518144369125, 0.025592433288693428, 0.7022590041160583, 0.01653812639415264, 0.20382994413375854]"
878372440107307009_0,2.0,2,"[0.012835122644901276, 0.010824673809111118, 0.9550009369850159, 0.006680282298475504, 0.014659029431641102]"
878627200320372738_0,2.0,2,"[0.05018654093146324, 0.03085286170244217, 0.8244872689247131, 0.018025269731879234, 0.07644809037446976]"
879308261232709632_0,2.0,4,"[0.07760381698608398, 0.03847500681877136, 0.3155555725097656, 0.0973513200879097, 0.4710142910480499]"
879354619717091331_0,2.0,2,"[0.04391734302043915, 0.009945298545062542, 0.8959220051765442, 0.005880302749574184, 0.044335026293992996]"
879368692517273601_0,2.0,2,"[0.04524519667029381, 0.2053743302822113, 0.6990494728088379, 0.023069171234965324, 0.02726186439394951]"
879523345859043329_0,2.0,2,"[0.02639649249613285, 0.014851872809231281, 0.8851622939109802, 0.0077967033721506596, 0.06579255312681198]"
879837440671985664_0,2.0,2,"[0.06803562492132187, 0.04799657687544823, 0.8070877194404602, 0.012478608638048172, 0.06440157443284988]"
879923161839665152_0,2.0,2,"[0.07735390216112137, 0.023345263674855232, 0.8189384937286377, 0.04859033599495888, 0.031771957874298096]"
879974103444320256_0,2.0,2,"[0.024440648034214973, 0.013788559474050999, 0.9338521361351013, 0.009933832101523876, 0.017984721809625626]"
880055639489339392_0,2.0,2,"[0.028203994035720825, 0.010890563949942589, 0.8327682614326477, 0.11330760270357132, 0.01482958160340786]"
880133721902526464_0,2.0,2,"[0.0327775664627552, 0.009232481010258198, 0.9123480916023254, 0.0055277785286307335, 0.04011411592364311]"
880166436563546114_0,2.0,2,"[0.03344990313053131, 0.07576049119234085, 0.8195639848709106, 0.04642682150006294, 0.024798832833766937]"
880532271446360064_0,2.0,2,"[0.03092467039823532, 0.01017577014863491, 0.9373916387557983, 0.006000993307679892, 0.015506942756474018]"
880628428973670400_0,2.0,2,"[0.026334134861826897, 0.014891929924488068, 0.8124257922172546, 0.12332727760076523, 0.023020971566438675]"
880722883953262594_0,2.0,2,"[0.044249918311834335, 0.03786294534802437, 0.7606742978096008, 0.11342496424913406, 0.04378785938024521]"
880834003984457731_0,2.0,2,"[0.05447875335812569, 0.1720915585756302, 0.6468439698219299, 0.0902794674038887, 0.03630620613694191]"
880909282555957248_0,2.0,2,"[0.014771373011171818, 0.003077388508245349, 0.970170795917511, 0.0033303105738013983, 0.008650113828480244]"
880988166219497476_0,2.0,2,"[0.057339880615472794, 0.029507772997021675, 0.7842694520950317, 0.017523877322673798, 0.11135902255773544]"
881002866269278210_0,2.0,2,"[0.01779358461499214, 0.02001330628991127, 0.9240888953208923, 0.022794991731643677, 0.015309217385947704]"
881157973292310528_0,2.0,2,"[0.04453352466225624, 0.10243009775876999, 0.7360313534736633, 0.08183933794498444, 0.03516574576497078]"
881339441087959040_0,2.0,2,"[0.052754923701286316, 0.029976988211274147, 0.8412283658981323, 0.014581771567463875, 0.06145794689655304]"
881571538364801024_0,2.0,2,"[0.03308627009391785, 0.04454417899250984, 0.7809537053108215, 0.020317591726779938, 0.12109828740358353]"
881714673157980160_0,2.0,2,"[0.024648165330290794, 0.05106274411082268, 0.8544453978538513, 0.005398404318839312, 0.0644453763961792]"
901646614523203584_0,2.0,2,"[0.0670967698097229, 0.009560090489685535, 0.8280993103981018, 0.07671298086643219, 0.0185308288782835]"
901718625115099136_0,2.0,2,"[0.046553924679756165, 0.04429423063993454, 0.758486270904541, 0.08733102679252625, 0.06333456188440323]"
901776026367397888_0,2.0,2,"[0.20639510452747345, 0.060775041580200195, 0.47191163897514343, 0.04352547973394394, 0.21739274263381958]"
904212575994482688_0,2.0,2,"[0.12917959690093994, 0.02336917631328106, 0.7632635831832886, 0.048018280416727066, 0.036169372498989105]"
904216174342299648_0,2.0,2,"[0.1687479317188263, 0.023123595863580704, 0.5958722233772278, 0.05640478432178497, 0.15585140883922577]"
904268469625004032_0,2.0,2,"[0.032594259828329086, 0.017905456945300102, 0.9140617847442627, 0.010326819494366646, 0.025111684575676918]"
904291964266446848_0,2.0,2,"[0.10346005856990814, 0.09296293556690216, 0.4181477427482605, 0.05923259258270264, 0.32619667053222656]"
904358058649952256_0,2.0,2,"[0.02644476108253002, 0.02857511304318905, 0.8541349768638611, 0.048885442316532135, 0.04195970296859741]"
904375409441087488_0,2.0,2,"[0.030999768525362015, 0.007672930136322975, 0.8598132729530334, 0.060369689017534256, 0.04114437475800514]"
904393064936075264_0,2.0,2,"[0.04049070179462433, 0.046430692076683044, 0.6214805841445923, 0.20663981139659882, 0.0849582701921463]"
904429336505278465_0,2.0,2,"[0.07244531065225601, 0.06595896184444427, 0.5127860903739929, 0.04588291794061661, 0.3029267489910126]"
904445042391166976_0,2.0,2,"[0.01777266152203083, 0.004457517992705107, 0.9686797857284546, 0.0022807270288467407, 0.006809311453253031]"
904460706745126913_0,2.0,2,"[0.019688205793499947, 0.00997004471719265, 0.9493896961212158, 0.004798007197678089, 0.01615404523909092]"
904492536273805313_0,2.0,2,"[0.025281257927417755, 0.004366662353277206, 0.9187703132629395, 0.03498518466949463, 0.01659662276506424]"
904499126913695744_0,2.0,2,"[0.06855529546737671, 0.026450281962752342, 0.5315567851066589, 0.03362266346812248, 0.3398149907588959]"
904625738216869889_0,2.0,3,"[0.09896127134561539, 0.055368002504110336, 0.3403392434120178, 0.43112918734550476, 0.07420232892036438]"
904736960060772352_0,2.0,2,"[0.019906342029571533, 0.010936016216874123, 0.873779833316803, 0.02937331795692444, 0.06600455939769745]"
904791464382791680_0,2.0,2,"[0.023676477372646332, 0.013076359406113625, 0.9383337497711182, 0.00840692687779665, 0.01650652475655079]"
904818897970495488_0,2.0,4,"[0.07009816914796829, 0.0746840313076973, 0.3193427324295044, 0.07207965850830078, 0.46379533410072327]"
904822236254806018_0,2.0,2,"[0.015749018639326096, 0.016245724633336067, 0.9531470537185669, 0.004183710087090731, 0.01067451573908329]"
904825942887059456_0,2.0,2,"[0.03037693165242672, 0.015651993453502655, 0.8858680725097656, 0.04164107143878937, 0.026461968198418617]"
905033828095455236_0,2.0,1,"[0.11680058389902115, 0.3276851177215576, 0.17847110331058502, 0.23857375979423523, 0.13846942782402039]"
905036991644958720_0,2.0,4,"[0.09360171109437943, 0.15633895993232727, 0.23761901259422302, 0.05438482016324997, 0.4580554664134979]"
905164508561321988_0,2.0,2,"[0.009281879290938377, 0.005462773144245148, 0.8987739682197571, 0.06901711225509644, 0.01746429316699505]"
905189440926167040_0,2.0,2,"[0.045580800622701645, 0.011103288270533085, 0.8986162543296814, 0.01644660159945488, 0.028253082185983658]"
905189718773694464_0,2.0,2,"[0.022527825087308884, 0.011311729438602924, 0.8831186294555664, 0.05069543048739433, 0.03234628960490227]"
905200278294626309_0,2.0,2,"[0.030070943757891655, 0.035883717238903046, 0.8388202786445618, 0.051011763513088226, 0.04421330243349075]"
905286264420802560_0,2.0,2,"[0.04562358558177948, 0.016060248017311096, 0.8797173500061035, 0.011530728079378605, 0.04706813022494316]"
905316510935199745_0,2.0,2,"[0.026642601937055588, 0.004028331954032183, 0.9305636882781982, 0.006524805445224047, 0.03224058821797371]"
905327206234185728_0,2.0,2,"[0.024987461045384407, 0.027284573763608932, 0.9135615229606628, 0.01825232058763504, 0.01591411791741848]"
905363123506487297_0,2.0,2,"[0.017891015857458115, 0.01713402010500431, 0.938591718673706, 0.016204454004764557, 0.010178710334002972]"
905371500869545985_0,2.0,2,"[0.030677370727062225, 0.014255139976739883, 0.9161801934242249, 0.006900962442159653, 0.03198627382516861]"
905401055546146816_0,2.0,2,"[0.029320020228624344, 0.010869418270885944, 0.7315136790275574, 0.2098458856344223, 0.018451040610671043]"
905433688367816708_0,2.0,2,"[0.03950442746281624, 0.016826143488287926, 0.8264517188072205, 0.04050648212432861, 0.07671116292476654]"
905487148652036096_0,2.0,2,"[0.052516791969537735, 0.0400787852704525, 0.6364967226982117, 0.13202910125255585, 0.13887865841388702]"
905538349942878210_0,2.0,4,"[0.06137850508093834, 0.17303046584129333, 0.24167251586914062, 0.19528654217720032, 0.3286319673061371]"
905542148296200194_0,2.0,2,"[0.05172731354832649, 0.03714092820882797, 0.6820108294487, 0.019344497472047806, 0.2097763866186142]"
905716323757547521_0,2.0,2,"[0.014534949325025082, 0.006992765702307224, 0.7727704048156738, 0.0040061576291918755, 0.20169579982757568]"
905720956974497792_0,2.0,2,"[0.04137067869305611, 0.1267787516117096, 0.7650447487831116, 0.04452301189303398, 0.022282764315605164]"
905980615824158720_0,2.0,2,"[0.04026595875620842, 0.019561687484383583, 0.809274435043335, 0.014723343774676323, 0.11617454886436462]"
